1532574364.809694000	0	296	1
1532574364.852119000	0.0424249	82	0
1532574364.868862000	0.0591679	431	0
1532574364.868913000	0.0592189	78	0
1532574364.869181000	0.0594869	103	1
1532574365.907681000	1.09799	228	1
1532574365.949939000	1.14024	82	0
1532574366.150395000	1.3407	321	0
1532574366.151522000	1.34183	1412	0
1532574366.151665000	1.34197	103	1
1532574366.151858000	1.34216	1412	0
1532574366.152164000	1.34247	1412	0
1532574366.152181000	1.34249	172	0
1532574366.152379000	1.34268	100	1
1532574366.154320000	1.34463	1412	0
1532574366.154439000	1.34474	100	1
1532574366.154616000	1.34492	1412	0
1532574366.154932000	1.34524	1412	0
1532574366.154947000	1.34525	180	0
1532574366.155491000	1.3458	100	1
1532574366.155644000	1.34595	1412	0
1532574366.155838000	1.34614	100	1
1532574366.155978000	1.34628	1412	0
1532574366.156268000	1.34657	1325	0
1532574366.156474000	1.34678	100	1
1532574366.158469000	1.34877	1412	0
1532574366.158771000	1.34908	1412	0
1532574366.159519000	1.34982	1412	0
1532574366.159760000	1.35007	1196	0
1532574366.160225000	1.35053	100	1
1532574366.160322000	1.35063	100	1
1532574366.160511000	1.35082	1412	0
1532574366.160828000	1.35113	1412	0
1532574366.160930000	1.35124	100	1
1532574366.162227000	1.35253	1412	0
1532574366.162580000	1.35289	1412	0
1532574366.162684000	1.35299	100	1
1532574366.162907000	1.35321	1412	0
1532574366.163097000	1.3534	1009	0
1532574366.163185000	1.35349	100	1
1532574366.164871000	1.35518	1412	0
1532574366.165178000	1.35548	1412	0
1532574366.165288000	1.35559	100	1
1532574366.166261000	1.35657	1170	0
1532574366.179848000	1.37015	1412	0
1532574366.180130000	1.37044	1412	0
1532574366.181363000	1.37167	100	1
1532574366.182536000	1.37284	1412	0
1532574366.182558000	1.37286	192	0
1532574366.182835000	1.37314	1229	0
1532574366.183162000	1.37347	1412	0
1532574366.183491000	1.3738	1412	0
1532574366.184396000	1.3747	1412	0
1532574366.184415000	1.37472	182	0
1532574366.185987000	1.37629	1412	0
1532574366.186007000	1.37631	211	0
1532574366.186350000	1.37666	1412	0
1532574366.187053000	1.37736	1412	0
1532574366.187362000	1.37767	1412	0
1532574366.187379000	1.37768	182	0
1532574366.188374000	1.37868	100	1
1532574366.188463000	1.37877	1062	0
1532574366.188469000	1.37877	100	1
1532574366.188549000	1.37885	100	1
1532574366.188621000	1.37893	100	1
1532574366.188694000	1.379	100	1
1532574366.188753000	1.37906	100	1
1532574366.188830000	1.37914	113	1
1532574366.190945000	1.38125	1412	0
1532574366.191099000	1.3814	100	1
1532574366.191252000	1.38156	1412	0
1532574366.191981000	1.38229	1412	0
1532574366.192295000	1.3826	1412	0
1532574366.192509000	1.38281	1097	0
1532574366.196947000	1.38725	100	1
1532574366.197069000	1.38737	100	1
1532574366.231555000	1.42186	82	0
1532574366.620237000	1.81054	1412	1
1532574366.620344000	1.81065	1240	1
1532574366.638199000	1.82851	83	0
1532574366.664449000	1.85475	233	1
1532574366.706022000	1.89633	83	0
1532574366.771405000	1.96171	509	0
1532574366.775564000	1.96587	79	0
1532574366.815644000	2.00595	352	0
1532574366.816010000	2.00632	1412	0
1532574366.816335000	2.00664	1412	0
1532574366.816345000	2.00665	1412	0
1532574366.816357000	2.00666	176	0
1532574366.816725000	2.00703	1412	0
1532574366.817022000	2.00733	1412	0
1532574366.817245000	2.00755	1068	0
1532574366.819349000	2.00965	91	0
1532574366.819803000	2.01011	167	0
1532574366.826177000	2.01648	103	1
1532574366.826346000	2.01665	100	1
1532574366.826406000	2.01671	100	1
1532574366.826480000	2.01679	100	1
1532574366.826561000	2.01687	100	1
1532574366.826609000	2.01691	100	1
1532574367.391787000	2.58209	215	1
1532574367.437943000	2.62825	83	0
1532574367.484905000	2.67521	638	1
1532574367.485460000	2.67577	1125	1
1532574367.502460000	2.69277	83	0
